id,report_text,sif_potential,confidence,life_saving_rule,activity,location,barrier_failure,site
1199,Contractor entered the storage tank without gas testing.,True,0.93,Confined Space,Inspection,Storage Farm,Ventilation not established before entry,Site B
1200,Worker entered storage tank without a valid permit or atmospheric testing.,True,0.89,Confined Space,Maintenance,Vessel Yard,Ventilation not established before entry,Drilling Pad 7
1201,"During tank gauging, Technician entered ballast tank without a standby attendant present.",True,0.9,Confined Space,Cleaning,Vessel Yard,Atmospheric testing not performed,Site C
1202,Driver of a forklift was not wearing a seatbelt during transit.,True,0.82,Driving/Transportation,Transportation,Site Access Road,Banksman not used for reversing,Terminal 1
1203,Staff member was seen without a hi-vis vest inside the admin building.,False,0.8,None,General Duty,Admin Building,"Minor PPE non-compliance, low risk context",Site B
1204,A worker noted faded lane markings near the parking area.,False,0.8,None,General Observation,Yard,No significant barrier failure identified,Terminal 1
1205,Recyclable material was mixed with general waste near the workshop exit.,False,0.79,None,Housekeeping,Break Room,Minor housekeeping lapse,Site B
1206,"During inspection, Inspector entered storage tank without a standby attendant present.",True,0.9,Confined Space,Cleaning,Tank Area,No standby attendant assigned,Site B
1207,Employee was found with sleeves rolled up in a low-hazard area.,False,0.77,None,General Duty,Office,"Minor PPE non-compliance, low risk context",Terminal 1
1208,"During a crane lift, Contractor remained in the drop zone of a suspended steel beam.",True,0.91,Line of Fire,Construction,Laydown Yard,Barricades not in place,Site C
1209,Worker began repair work on hydraulic press before applying lockout/tagout.,True,0.83,Energy Isolation,Maintenance,Compressor Area,Energy source not verified as zero,Refinery Unit 2
1210,A slightly loose floor tile was noted in loading bay during a routine walk-through.,False,0.84,None,General Observation,Workshop,No significant barrier failure identified,Site C
1211,Loose cables were found lying across the walkway near the workshop exit.,False,0.89,None,Housekeeping,Warehouse,Minor housekeeping lapse,Site A
1212,Visitor was seen without a hi-vis vest inside the admin building.,False,0.8,None,Admin Task,Office,"Minor PPE non-compliance, low risk context",Site C
1213,Inspector entered storage tank despite an expired confined space entry permit.,True,0.83,Confined Space,Maintenance,Vessel Yard,No standby attendant assigned,Terminal 1
1214,Contractor operated a heavy truck despite signs of fatigue after a long shift.,True,0.83,Driving/Transportation,Material Transport,Site Access Road,Speed limit exceeded,Site A
1215,"A desk drawer near the reception desk was left open, posing a minor trip hazard.",False,0.94,None,Office Work,Admin Building,"Minor office hazard, no corrective barrier failure",Site C
1216,Technician was found working on elevated platform with harness unclipped.,True,0.96,Working at Height,Inspection,Pipe Rack Area,Ladder not secured before use,Site B
1217,Worker positioned drop zone while rigging operation was in progress nearby.,True,0.94,Line of Fire,Lifting Operation,Workshop,No spotter assigned,Drilling Pad 7
1218,Worker climbed scaffolding without securing a lanyard to an anchor point.,True,0.95,Working at Height,Maintenance,Tank Farm,Anchor point not secured,Site B
1219,Contractor exceeded the site speed limit while operating a site pickup truck.,True,0.86,Driving/Transportation,Transportation,Loading Bay,Banksman not used for reversing,Drilling Pad 7
1220,Technician stood in the path of moving crane while it was in operation.,True,0.85,Line of Fire,Construction,Pipeline Area,Barricades not in place,Site C
1221,Contractor performed welding near combustible material without a hot work permit.,True,0.89,Hot Work,Fabrication,Fabrication Yard,Fire watch not assigned,Site C
1222,Maintenance crew removed a guard on pump without confirming zero energy state.,True,0.83,Energy Isolation,Maintenance,Motor Room,Energy source not verified as zero,Terminal 1
1223,Office lighting in the second-floor cubicle row was flickering intermittently.,False,0.83,None,Office Work,Admin Building,"Minor office hazard, no corrective barrier failure",Site A
1224,Rigger walked into the pinch point area during a lifting operation without warning others.,True,0.92,Line of Fire,Construction,Laydown Yard,Lifting plan not followed,Site C
1225,"During maintenance, Worker entered storage tank without a standby attendant present.",True,0.97,Confined Space,Cleaning,Storage Farm,Confined space permit not followed,Site B
1226,"During cleaning, Technician entered sewer chamber without a standby attendant present.",True,0.86,Confined Space,Inspection,Tank Area,Ventilation not established before entry,Site C
1227,Operator opened compressor while it was still energized; isolation was not verified.,True,0.83,Energy Isolation,Maintenance,Pump House,Energy source not verified as zero,Site C
1228,"A minor paint stain was observed on the loading bay floor, no slip occurred.",False,0.92,None,General Observation,Parking Area,No significant barrier failure identified,Terminal 1
1229,Employee was seen without a hi-vis vest inside the admin building.,False,0.86,None,Admin Task,Office,"Minor PPE non-compliance, low risk context",Site C
1230,Worker used an unsecured ladder to access tank roof.,True,0.84,Working at Height,Maintenance,Tank Farm,Ladder not secured before use,Refinery Unit 2
1231,A minor ergonomic complaint was raised regarding the chair setup in the second-floor cubicle row.,False,0.88,None,Office Work,Office,"Minor office hazard, no corrective barrier failure",Site A
1232,Contractor conducted welding without isolating nearby combustible material.,True,0.87,Hot Work,Hot Work,Pipeline Area,Gas testing not performed before work,Site C
1233,A small stack of files was left on the floor near the meeting room.,False,0.78,None,Office Work,Admin Building,"Minor office hazard, no corrective barrier failure",Site B
1234,Driver of a heavy truck was not wearing a seatbelt during transit.,True,0.95,Driving/Transportation,Material Transport,Site Access Road,Banksman not used for reversing,Site B
1235,Spilled water on the floor near the loading dock was not cleaned up promptly.,False,0.93,None,Housekeeping,Office,Minor housekeeping lapse,Drilling Pad 7
1236,Technician opened compressor while it was still energized; isolation was not verified.,True,0.91,Energy Isolation,Maintenance,Pump House,Isolation not performed,Terminal 1
1237,Tools were left scattered on the workbench in the warehouse aisle.,False,0.86,None,Housekeeping,Corridor,Minor housekeeping lapse,Drilling Pad 7
1238,"During electrical work, the electrical supply was not locked out before work began on compressor.",True,0.87,Energy Isolation,Maintenance,Motor Room,LOTO not applied,Site C
1239,Contractor climbed into storage tank to inspect it before oxygen levels were checked.,True,0.88,Confined Space,Inspection,Vessel Yard,No standby attendant assigned,Terminal 1
1240,Rigger walked into the swing radius of the crane during a lifting operation without warning others.,True,0.9,Line of Fire,Construction,Pipeline Area,Lifting plan not followed,Drilling Pad 7
1241,Waste material of type plastic wrapping was left unsorted near the office entrance.,False,0.85,None,Housekeeping,Break Room,Minor housekeeping lapse,Site A
1242,Office lighting in the finance cubicle was flickering intermittently.,False,0.8,None,Office Work,Admin Building,"Minor office hazard, no corrective barrier failure",Terminal 1
1243,"During maintenance, the stored mechanical energy was not locked out before work began on pump.",True,0.91,Energy Isolation,Maintenance,Electrical Substation,Energy source not verified as zero,Site A
1244,Technician entered the ballast tank without gas testing.,True,0.9,Confined Space,Inspection,Tank Area,Confined space permit not followed,Site C
1245,Welder conducted grinding without isolating nearby flammable storage tanks.,True,0.83,Hot Work,Repair,Workshop,Fire watch not assigned,Site A
1246,Worker entered ballast tank despite an expired confined space entry permit.,True,0.93,Confined Space,Cleaning,Vessel Yard,Ventilation not established before entry,Site B
1247,Scaffolder was found working on elevated platform with harness unclipped.,True,0.9,Working at Height,Construction,Tank Farm,Fall arrest harness not used,Site A
1248,A minor ergonomic complaint was raised regarding the chair setup in the meeting room.,False,0.77,None,Office Work,Office,"Minor office hazard, no corrective barrier failure",Site B
1249,Waste material of type packaging material was left unsorted near the break room.,False,0.8,None,Housekeeping,Office,Minor housekeeping lapse,Drilling Pad 7
1250,Recyclable material was mixed with general waste near the loading dock.,False,0.88,None,Housekeeping,Warehouse,Minor housekeeping lapse,Site A
1251,Worker began repair work on compressor before applying lockout/tagout.,True,0.83,Energy Isolation,Maintenance,Motor Room,Lock/tag missing on isolation point,Site B
1252,"During material handling, Technician remained in the drop zone of a suspended equipment skid.",True,0.86,Line of Fire,Construction,Construction Site,No spotter assigned,Site A
1253,Recyclable material was mixed with general waste near the main corridor.,False,0.92,None,Housekeeping,Office,Minor housekeeping lapse,Site C
1254,Worker walked into the pinch point area during a lifting operation without warning others.,True,0.88,Line of Fire,Lifting Operation,Laydown Yard,Barricades not in place,Site A
1255,Contractor worked on rooftop without wearing a fall arrest harness.,True,0.84,Working at Height,Construction,Construction Site,Edge protection missing,Refinery Unit 2
1256,Contractor began hot tapping without checking for flammable vapors nearby.,True,0.89,Hot Work,Repair,Tank Farm,Fire watch not assigned,Terminal 1
1257,Technician opened electrical panel while it was still energized; isolation was not verified.,True,0.96,Energy Isolation,Maintenance,Pump House,LOTO not applied,Drilling Pad 7
1258,"During material handling, Worker remained in the drop zone of a suspended load.",True,0.94,Line of Fire,Material Handling,Workshop,No spotter assigned,Drilling Pad 7
1259,A small stack of files was left on the floor near the reception desk.,False,0.76,None,Office Work,Office,"Minor office hazard, no corrective barrier failure",Site B
1260,A slightly loose floor tile was noted in workshop during a routine walk-through.,False,0.85,None,General Observation,Workshop,No significant barrier failure identified,Drilling Pad 7
1261,"Employee had a hard hat resting on a desk instead of worn, in a low-risk zone.",False,0.88,None,Admin Task,Office,"Minor PPE non-compliance, low risk context",Terminal 1
1262,An empty drum was stored outside its designated area near the break room.,False,0.89,None,Housekeeping,Office,Minor housekeeping lapse,Drilling Pad 7
1263,Fabrication crew began cutting operations without checking for flammable vapors nearby.,True,0.84,Hot Work,Repair,Tank Farm,Flammable materials not cleared from area,Site C
1264,Fabrication crew conducted welding without isolating nearby combustible material.,True,0.84,Hot Work,Fabrication,Pipeline Area,Hot work permit not obtained,Site C
1265,Technician conducted grinding without isolating nearby an open fuel line.,True,0.97,Hot Work,Repair,Fabrication Yard,Fire watch not assigned,Terminal 1
1266,An employee reported a sticking drawer causing minor discomfort.,False,0.92,None,Office Work,Office,"Minor office hazard, no corrective barrier failure",Refinery Unit 2
1267,Technician stood in the path of moving conveyor while it was in operation.,True,0.9,Line of Fire,Construction,Workshop,No spotter assigned,Refinery Unit 2
1268,Operator reversed a forklift without a banksman present.,True,0.88,Driving/Transportation,Material Transport,Loading Bay,Seatbelt not worn,Site A
1269,A worker suggested improved lighting near corridor for better visibility.,False,0.94,None,General Observation,Workshop,No significant barrier failure identified,Site C
1270,Contractor conducted welding without isolating nearby process piping containing hydrocarbons.,True,0.97,Hot Work,Hot Work,Tank Farm,Flammable materials not cleared from area,Drilling Pad 7
1271,Inspector entered underground pit despite an expired confined space entry permit.,True,0.91,Confined Space,Inspection,Storage Farm,Confined space permit not followed,Site C
1272,A pallet was stored outside its designated area near the loading dock.,False,0.8,None,Housekeeping,Break Room,Minor housekeeping lapse,Drilling Pad 7
1273,Technician used an unsecured ladder to access elevated platform.,True,0.85,Working at Height,Construction,Tank Farm,Edge protection missing,Site A
1274,Worker removed gloves briefly while walking to the break room.,False,0.94,None,Admin Task,Admin Building,"Minor PPE non-compliance, low risk context",Site A
1275,Operator was seen using a mobile phone while driving a heavy truck on site.,True,0.85,Driving/Transportation,Transportation,Internal Roadway,Seatbelt not worn,Refinery Unit 2
1276,"During structural repair, Contractor worked at height without edge protection installed.",True,0.89,Working at Height,Inspection,Workshop,Edge protection missing,Refinery Unit 2
1277,Office lighting in the meeting room was flickering intermittently.,False,0.78,None,Office Work,Office,"Minor office hazard, no corrective barrier failure",Drilling Pad 7
1278,Worker was found working on tank roof with harness unclipped.,True,0.84,Working at Height,Construction,Pipe Rack Area,Edge protection missing,Refinery Unit 2
1279,Technician started maintenance on the compressor without isolating the pneumatic line.,True,0.85,Energy Isolation,Maintenance,Pump House,Lock/tag missing on isolation point,Site A
1280,Technician started a motor replacement on the compressor without isolating the electrical supply.,True,0.97,Energy Isolation,Maintenance,Pump House,Isolation not performed,Terminal 1
1281,Contractor was noted wearing open-toed shoes in a non-operational area.,False,0.83,None,Admin Task,Admin Building,"Minor PPE non-compliance, low risk context",Drilling Pad 7
1282,Employee operated a site pickup truck despite signs of fatigue after a long shift.,True,0.94,Driving/Transportation,Site Driving,Parking Area,Mobile phone used while driving,Site B
1283,"During hot tapping, sparks were generated near process piping containing hydrocarbons with no fire watch present.",True,0.87,Hot Work,Repair,Fabrication Yard,Gas testing not performed before work,Terminal 1
1284,Operator reversed a heavy truck without a banksman present.,True,0.95,Driving/Transportation,Material Transport,Parking Area,Seatbelt not worn,Terminal 1
1285,Maintenance crew removed a guard on electrical panel without confirming zero energy state.,True,0.84,Energy Isolation,Maintenance,Pump House,LOTO not applied,Drilling Pad 7
1286,"During rigging operation, Rigger remained in the drop zone of a suspended steel beam.",True,0.83,Line of Fire,Material Handling,Construction Site,Barricades not in place,Terminal 1
1287,Worker began maintenance on conveyor motor before applying lockout/tagout.,True,0.84,Energy Isolation,Maintenance,Motor Room,Energy source not verified as zero,Refinery Unit 2
1288,"During rigging operation, Rigger remained in the drop zone of a suspended load.",True,0.98,Line of Fire,Construction,Laydown Yard,Barricades not in place,Terminal 1
1289,Employee was noted wearing open-toed shoes in a non-operational area.,False,0.82,None,Admin Task,Break Room,"Minor PPE non-compliance, low risk context",Site B
1290,Inspector entered the underground pit without gas testing.,True,0.98,Confined Space,Cleaning,Vessel Yard,No standby attendant assigned,Site B
1291,"A minor grease stain was observed on the yard floor, no slip occurred.",False,0.77,None,General Observation,Yard,No significant barrier failure identified,Refinery Unit 2
1292,Minor rust was observed on a non-critical handrail near workshop.,False,0.94,None,General Observation,Yard,No significant barrier failure identified,Drilling Pad 7
1293,Worker positioned pinch point area while a lifting operation was in progress nearby.,True,0.95,Line of Fire,Material Handling,Workshop,Exclusion zone not established,Site C
1294,Recyclable material was mixed with general waste near the office entrance.,False,0.88,None,Housekeeping,Office,Minor housekeeping lapse,Site A
